time,cpm,lat,lon
2017-03-11T21:29:47Z,23,45.6556666667,13.77358
2017-03-11T21:29:52Z,23,45.6556533333,13.7735616667
2017-03-11T21:29:57Z,22,45.6556533333,13.7735566667
2017-03-11T21:30:02Z,25,45.6556466667,13.7735416667
2017-03-11T21:30:07Z,25,45.65564,13.773525
2017-03-11T21:30:12Z,23,45.6555983333,13.7735116667
2017-03-11T21:30:17Z,21,45.6555816667,13.773505
2017-03-11T21:30:22Z,21,45.6555533333,13.7734683333
2017-03-11T21:30:27Z,19,45.6555666667,13.773475
2017-03-11T21:30:32Z,21,45.655595,13.7735
2017-03-11T21:30:37Z,20,45.65564,13.7735533333
2017-03-11T21:30:42Z,19,45.655665,13.7735783333
2017-03-11T21:30:47Z,21,45.6556683333,13.773575
2017-03-11T21:30:52Z,21,45.6556633333,13.7735583333
2017-03-11T21:30:57Z,23,45.6556416667,13.7735316667
2017-03-11T21:31:02Z,25,45.6556216667,13.773505
2017-03-11T21:31:07Z,26,45.6556383333,13.77353
2017-03-11T21:31:12Z,28,45.65566,13.77357
2017-03-11T21:31:17Z,31,45.655695,13.77361
2017-03-11T21:31:22Z,32,45.65572,13.7736316667
2017-03-11T21:31:27Z,37,45.6557566667,13.7736816667
2017-03-11T21:31:32Z,35,45.6557283333,13.7736566667
2017-03-11T21:31:37Z,35,45.655755,13.773705
2017-03-11T21:31:42Z,35,45.6557633333,13.77372
2017-03-11T21:31:47Z,31,45.655785,13.773745
2017-03-11T21:31:52Z,31,45.65575,13.7737066667
2017-03-11T21:31:57Z,29,45.6557,13.7736333333
2017-03-11T21:32:02Z,25,45.6557033333,13.7736283333
2017-03-11T21:32:07Z,22,45.6556883333,13.7736083333
2017-03-11T21:32:12Z,22,45.655665,13.77358
2017-03-11T21:32:17Z,21,45.65564,13.77355
2017-03-11T21:32:22Z,21,45.655635,13.7735416667
2017-03-11T21:32:27Z,17,45.65563,13.77353
2017-03-11T21:32:32Z,16,45.6556366667,13.7735316667
2017-03-11T21:32:37Z,15,45.6556333333,13.77352
2017-03-11T21:32:42Z,16,45.65561,13.7734983333
2017-03-11T21:32:47Z,16,45.6556433333,13.7735333333
2017-03-11T21:32:52Z,18,45.6556683333,13.7735616667
2017-03-11T21:32:57Z,18,45.6557366667,13.77363
2017-03-11T21:33:02Z,18,45.6557166667,13.7736066667
2017-03-11T21:33:07Z,18,45.6557433333,13.7736233333
2017-03-11T21:33:12Z,19,45.655715,13.7735916667
2017-03-11T21:33:17Z,20,45.6555733333,13.7734533333
2017-03-11T21:33:23Z,19,45.6554866667,13.7733733333
2017-03-11T21:33:28Z,19,45.655505,13.7734016667
2017-03-11T21:33:33Z,22,45.6555633333,13.7734716667
2017-03-11T21:33:38Z,22,45.6555866667,13.7734966667
2017-03-11T21:33:43Z,25,45.65558,13.7734866667
2017-03-11T21:33:48Z,27,45.655565,13.7734733333
2017-03-11T21:33:53Z,26,45.6555583333,13.7734666667
2017-03-11T21:33:58Z,25,45.65556,13.7734683333
2017-03-11T21:34:03Z,26,45.6555783333,13.7734666667
2017-03-11T21:34:08Z,32,45.6555766667,13.773475
2017-03-11T21:34:13Z,30,45.65558,13.7734833333
2017-03-11T21:34:18Z,28,45.6555933333,13.7735
2017-03-11T21:34:23Z,29,45.6556,13.7735066667
2017-03-11T21:34:28Z,28,45.6556016667,13.7735116667
2017-03-11T21:34:33Z,28,45.6556333333,13.7735433333
2017-03-11T21:34:38Z,30,45.6556766667,13.77358
2017-03-11T21:34:43Z,27,45.655695,13.77357
2017-03-11T21:34:48Z,28,45.6557066667,13.7735816667
2017-03-11T21:34:53Z,27,45.6557366667,13.7736116667
2017-03-11T21:34:58Z,29,45.6557633333,13.7736366667
